Region,Country/Area,Year,Series,Value,Footnotes,Source
1,"Total, all countries or areas",1995,Primary energy production (petajoules),"381,677",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
1,"Total, all countries or areas",2000,Primary energy production (petajoules),"412,291",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
1,"Total, all countries or areas",2005,Primary energy production (petajoules),"476,693",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
1,"Total, all countries or areas",2010,Primary energy production (petajoules),"530,014",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
1,"Total, all countries or areas",2015,Primary energy production (petajoules),"570,226",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
1,"Total, all countries or areas",2017,Primary energy production (petajoules),"581,895",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
1,"Total, all countries or areas",2018,Primary energy production (petajoules),"601,245",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
1,"Total, all countries or areas",2019,Primary energy production (petajoules),"612,971",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
1,"Total, all countries or areas",1995,Net imports [Imports - Exports - Bunkers] (petajoules),"-8,718",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
1,"Total, all countries or areas",2000,Net imports [Imports - Exports - Bunkers] (petajoules),"-10,046",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
1,"Total, all countries or areas",2005,Net imports [Imports - Exports - Bunkers] (petajoules),"-13,543",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
1,"Total, all countries or areas",2010,Net imports [Imports - Exports - Bunkers] (petajoules),"-12,992",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
1,"Total, all countries or areas",2015,Net imports [Imports - Exports - Bunkers] (petajoules),"-18,258",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
1,"Total, all countries or areas",2017,Net imports [Imports - Exports - Bunkers] (petajoules),"-20,454",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
1,"Total, all countries or areas",2018,Net imports [Imports - Exports - Bunkers] (petajoules),"-22,860",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
1,"Total, all countries or areas",2019,Net imports [Imports - Exports - Bunkers] (petajoules),"-23,212",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
1,"Total, all countries or areas",1995,Changes in stocks (petajoules),282,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
1,"Total, all countries or areas",2000,Changes in stocks (petajoules),"-2,950",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
1,"Total, all countries or areas",2005,Changes in stocks (petajoules),-286,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
1,"Total, all countries or areas",2010,Changes in stocks (petajoules),33,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
1,"Total, all countries or areas",2015,Changes in stocks (petajoules),"2,442",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
1,"Total, all countries or areas",2017,Changes in stocks (petajoules),"-3,408",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
1,"Total, all countries or areas",2018,Changes in stocks (petajoules),126,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
1,"Total, all countries or areas",2019,Changes in stocks (petajoules),"5,166",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
1,"Total, all countries or areas",1995,Total supply (petajoules),"372,677",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
1,"Total, all countries or areas",2000,Total supply (petajoules),"405,196",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
1,"Total, all countries or areas",2005,Total supply (petajoules),"463,436",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
1,"Total, all countries or areas",2010,Total supply (petajoules),"516,988",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
1,"Total, all countries or areas",2015,Total supply (petajoules),"549,527",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
1,"Total, all countries or areas",2017,Total supply (petajoules),"564,848",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
1,"Total, all countries or areas",2018,Total supply (petajoules),"578,259",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
1,"Total, all countries or areas",2019,Total supply (petajoules),"584,593",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
1,"Total, all countries or areas",1995,Supply per capita (gigajoules),65,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
1,"Total, all countries or areas",2000,Supply per capita (gigajoules),66,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
1,"Total, all countries or areas",2005,Supply per capita (gigajoules),71,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
1,"Total, all countries or areas",2010,Supply per capita (gigajoules),74,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
1,"Total, all countries or areas",2015,Supply per capita (gigajoules),74,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
1,"Total, all countries or areas",2017,Supply per capita (gigajoules),75,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
1,"Total, all countries or areas",2018,Supply per capita (gigajoules),76,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
1,"Total, all countries or areas",2019,Supply per capita (gigajoules),76,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
2,Africa,1995,Primary energy production (petajoules),"32,264",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
2,Africa,2000,Primary energy production (petajoules),"36,643",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
2,Africa,2005,Primary energy production (petajoules),"44,952",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
2,Africa,2010,Primary energy production (petajoules),"47,453",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
2,Africa,2015,Primary energy production (petajoules),"44,471",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
2,Africa,2017,Primary energy production (petajoules),"46,309",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
2,Africa,2018,Primary energy production (petajoules),"46,947",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
2,Africa,2019,Primary energy production (petajoules),"48,095",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
2,Africa,1995,Net imports [Imports - Exports - Bunkers] (petajoules),"-13,018",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
2,Africa,2000,Net imports [Imports - Exports - Bunkers] (petajoules),"-15,601",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
2,Africa,2005,Net imports [Imports - Exports - Bunkers] (petajoules),"-20,432",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
2,Africa,2010,Net imports [Imports - Exports - Bunkers] (petajoules),"-19,306",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
2,Africa,2015,Net imports [Imports - Exports - Bunkers] (petajoules),"-13,344",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
2,Africa,2017,Net imports [Imports - Exports - Bunkers] (petajoules),"-13,828",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
2,Africa,2018,Net imports [Imports - Exports - Bunkers] (petajoules),"-14,338",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
2,Africa,2019,Net imports [Imports - Exports - Bunkers] (petajoules),"-13,707",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
2,Africa,1995,Changes in stocks (petajoules),322,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
2,Africa,2000,Changes in stocks (petajoules),-19,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
2,Africa,2005,Changes in stocks (petajoules),4,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
2,Africa,2010,Changes in stocks (petajoules),-17,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
2,Africa,2015,Changes in stocks (petajoules),-53,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
2,Africa,2017,Changes in stocks (petajoules),-130,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
2,Africa,2018,Changes in stocks (petajoules),-56,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
2,Africa,2019,Changes in stocks (petajoules),86,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
2,Africa,1995,Total supply (petajoules),"18,925",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
2,Africa,2000,Total supply (petajoules),"21,062",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
